1|Toi Thay Hoa Vang Tren Co Xanh|Cau chuyen ve tuoi tho|7|36|4 13 10
2|Dat Rung Phuong Nam|Tieu thuyet kinh dien|13|39|17 18
3|So Do|Hoi ky day cam xuc|11|1|10
4|Tat Den|Ky su phieu luu|2|21|12 13 14
5|Truyen Kieu||12|24|16
6|Vo Nhat|Tac pham noi tieng|16|30|8 4 9
7|Chi Pheo|Cau chuyen tinh yeu|3|42|12 8
8|Nhat Ky Trong Tu|Tieu thuyet kinh dien|4|40|10
9|Nhung Nguoi Khon Kho|Tieu thuyet kinh dien|11|42|13 3 17
10|Doc Ta Ky Hiep|Cau chuyen ve tuoi tho|3|39|9 6 5
11|Mat Biec|Tac pham van hoc Viet Nam|18|18|10 17
12|Cho Toi Xin Mot Ve Di Tuoi Tho|Tac pham noi tieng|19|20|10 7 6
13|Song Xa Me|Ky su phieu luu|4|7|10
14|Nhung Ngoi Sao Xa Xoi|Cau chuyen tinh yeu|11|11|10 15 7
15|Vang Trang Va Nhung Vi Sao|Cau chuyen ve tuoi tho|20|48|12 3 4
16|Ben Kia Song|Tac pham van hoc Viet Nam|7|26|12 11 9
17|Mua Thu Vang|Tieu thuyet kinh dien|9|18|16
18|Mien Dat Hua|Cau chuyen tinh yeu|5|48|4 5
19|Con Duong Trai Nghiem|Ky su phieu luu|8|23|1
20|Giac Mo My|Cau chuyen tinh yeu|12|30|17 10 16
